Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Medium|SPEC|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|5|Y
US_304486|US_304486|Medium|SPEC|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|Medium|SPEC|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|2|Y
US_304486|US_304486|Medium|SPEC|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|1|Y
US_304486|US_304486|Medium|SPEC|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|1|Y
US_304486|US_304486|Medium|PCP|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|3|6|Y
US_304486|US_304486|Medium|PCP|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|5|Y
US_304486|US_304486|Medium|PCP|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|Medium|PCP|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|2|Y
US_304486|US_304486|Medium|PCP|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|1|Y
US_304486|US_304486|Medium|PCP|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|1|Y
US_304486|US_304486|Medium|BOTH|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|3|6|Y
US_304486|US_304486|Medium|BOTH|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|5|Y
US_304486|US_304486|Medium|BOTH|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|Medium|BOTH|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|2|Y
US_304486|US_304486|Medium|BOTH|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|1|Y
US_304486|US_304486|Medium|BOTH|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|1|Y
US_304486|US_304486|Low|SPEC|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|SPEC|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|SPEC|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
US_304486|US_304486|Low|SPEC|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y
